Export Status,Error Message,*Location Type,*Parent Path,*Location Name,*Effective Date,*Expiration Date,Full Name,Description,Address,Cost Center,Direct Work Percent,Indirect Work Percent,Transferable,Currency,Color,External Id
Success,,CN-ROOT,/,CN,1/01/1900,1/01/3000,CN,CN-ROOT,,,,,false,USD,,
Success,,COMPANY,CN,10100,1/01/1900,1/01/3000,10100 - Pay Company,10100 - Pay Company,,,,,false,USD,,CN-10100-EXTID
Success,,DIVISION,CN/10100,HBS Center,1/01/1900,1/01/3000,HBS Center,HBS Center,,,,,false,USD,,CN-10100-HBS Center-EXTID
Success,,LOCATION,CN/10100/HBS Center,Shep.Park RDI,1/01/1900,1/01/3000,Shep.Park RDI,Shep.Park RDI,,,,,false,USD,,CN-10100-HBS Center-LOC_060-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Shep.Park RDI,10214 Genetics,1/01/1900,1/01/3000,10214 Genetics,10214 Genetics,,10214,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,PHYS,1/01/1900,1/01/3000,PHYS,Medical Geneticist,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-JC0499-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,INTERN,1/01/1900,1/01/3000,INTERN,Administrative Intern,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-JC0001-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,CHIEF,1/01/1900,1/01/3000,CHIEF,Chief of Genetics & Metabolism,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-JC1273-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,DIET,1/01/1900,1/01/3000,DIET,Metabolic Dietician,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-JC2017-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,PA,1/01/1900,1/01/3000,PA,Physician Assistant,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-JC2253-EXTID
